 الحل الوحيد هو القرب من الله وذكره  (الا بذكر الله تطمئن القلوب )قال الله تعالى,positive
 وهذه من اكبر المشاكل التي تؤرق الشباب في هذه الايام,positive
الموت مع الناس رحمه,positive
 اي صح و حاليا فاقده الاثنين,positive
 احسن علاج هذا,positive
 انا احب هذا الكاتب,positive
 الحل الوحيد (حب الله ورسوله وطاعتهم),positive
 كلام صحيح من شان هيك الدول اللي ما فيها بطالة والمجتمعات المفتوحة بتقل فيها المشاكل النفسية,positive
احيانا الوحده تزيل بعضا من ألهموم,positive
لا طبعا التقرب الى الله هو خير علاج للحالات النفسية,positive
و الله حرام و الله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا الله ارحمو من في الارض يرحمكم من في السماء و الله حرام,negative
من وين انجيب حرام عليكم,negative
مش شايف العالم مش ملاقيه الخبز . كل واحد بشتغل على سياره رح يوكل هوا و بارتفاع المحروقات الاكل و الشرب رح يرتفع,negative
و الله حرام الناس مش لاقيه توكل حتى ترفعو البنزين,negative
الله لا يشبعكو يا ظلمة انشاء الله كلو بتلقو بالاخرة يا ظلمة. خافو الله طبعا اذا بتعرفو ل الله.,negative
بس الله لا يسامحكم و تلقوها بصحتكم ان شاء الله.,negative
و الله انكو ما بتخافو الله,negative
الله اكبر على كل ظالم,negative
الك يوم يا ظالم,negative
حسبنا الله و نعم الوكيل فيكوا,negative
